RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
160,Dorian Finney-SmithDAL,PF,30,31.2,8.3,3.0,7.2,42.1,1.7,4.8,35.2,0.6,0.6,89.5,5.3,1.4,0.9,0.4,0.6,0,0,10.04
161,Kentavious Caldwell-PopeLAL,SG,40,26.0,8.3,2.8,6.7,42.2,1.5,3.7,40.1,1.2,1.4,85.5,2.4,1.5,0.8,0.3,1.0,0,0,9.19
162,Bruce BrownBKN,SF,40,20.7,8.3,3.5,6.2,55.9,0.2,0.9,25.7,1.1,1.6,71.4,4.5,1.4,0.7,0.3,0.8,1,0,15.44
163,Robin LopezWSH,C,42,20.0,8.2,3.3,5.6,58.1,0.1,0.4,33.3,1.5,2.2,69.9,4.1,0.9,0.3,0.6,1.0,2,0,14.65
164,Theo MaledonOKC,PG,37,26.5,8.1,2.9,7.5,38.8,1.6,4.3,37.1,0.7,1.0,72.2,3.1,3.5,0.9,0.1,1.9,1,0,8.00
165,Steven AdamsNO,C,40,27.7,8.1,3.5,5.6,63.1,0.0,0.1,0.0,1.1,2.3,46.2,9.2,2.0,0.9,0.6,1.6,10,1,16.14
166,JaVale McGeeCLE,C,33,15.2,8.0,3.4,6.5,52.1,0.2,0.6,25.0,1.1,1.7,65.5,5.2,1.0,0.5,1.2,1.4,0,0,18.77
167,Talen Horton-TuckerLAL,SG,40,18.4,8.0,3.2,7.0,44.8,0.5,1.9,25.3,1.3,1.5,84.7,2.7,2.3,0.8,0.5,1.4,1,0,12.84
168,Luke KennardLAC,SG,38,19.5,8.0,3.0,6.1,49.4,1.6,3.4,47.7,0.3,0.4,86.7,2.7,1.8,0.4,0.2,0.8,0,0,13.58
168,Derrick Jones Jr.POR,SF,39,26.6,8.0,3.0,6.0,49.4,0.9,2.7,32.4,1.2,1.8,64.8,4.4,0.9,0.8,1.1,0.7,0,0,12.58
168,Anfernee SimonsPOR,SG,36,16.6,8.0,2.7,6.8,39.4,1.9,4.8,40.9,0.7,0.8,80.0,2.3,1.4,0.2,0.1,0.8,0,0,11.72
171,Tristan ThompsonBOS,C,36,22.5,7.9,3.3,6.2,53.4,0.0,0.1,0.0,1.3,2.2,60.0,8.4,1.0,0.4,0.4,1.0,4,0,15.71
172,Isaac OkoroCLE,SF,38,32.3,7.9,2.9,7.2,41.0,0.9,2.9,30.3,1.2,1.7,68.8,2.8,1.8,1.1,0.5,1.4,0,0,6.55
173,Maxi KleberDAL,PF,29,27.6,7.8,2.5,5.3,47.1,1.9,4.0,47.0,0.9,0.9,96.3,5.4,1.4,0.5,0.8,0.6,0,0,12.25
174,Landry ShametBKN,SG,39,20.1,7.8,2.5,6.5,39.1,1.8,4.9,37.4,0.9,1.1,83.7,1.8,1.1,0.5,0.1,0.7,0,0,9.51
175,Robert Williams IIIBOS,C,36,17.1,7.8,3.4,4.7,72.9,0.0,0.0,0.0,0.9,1.4,62.0,6.4,1.3,0.9,1.8,1.0,4,0,27.29
176,Raul NetoWSH,PG,37,20.6,7.7,2.9,6.7,43.4,0.9,2.5,36.2,0.9,1.1,83.3,2.2,2.2,1.2,0.1,0.8,0,0,12.00
177,DeAndre JordanBKN,C,42,23.0,7.6,3.4,4.4,77.3,0.0,0.0,0.0,0.8,1.5,49.2,7.5,1.7,0.3,1.3,1.6,4,0,16.73
178,Sterling BrownHOU,SF,40,23.9,7.6,2.7,6.4,42.7,1.6,4.2,38.6,0.5,0.6,90.9,4.5,1.6,0.9,0.3,0.8,1,0,10.86
179,Tomas SatoranskyCHI,SG,31,22.5,7.5,2.7,5.3,51.8,0.8,1.9,41.4,1.3,1.4,90.9,2.5,4.8,0.7,0.3,1.7,0,0,14.30
180,Tyrese MaxeyPHI,PG,38,15.2,7.5,3.2,7.0,46.1,0.4,1.6,28.8,0.6,0.7,85.2,1.7,1.6,0.4,0.2,0.7,0,0,12.78
181,Tyus JonesMEM,PG,40,20.2,7.5,3.1,7.1,43.8,0.7,2.4,29.8,0.6,0.7,88.9,2.2,4.3,1.1,0.1,0.8,2,0,15.31
182,Royce O'NealeUTAH,PF,42,32.4,7.5,2.5,5.7,44.6,1.7,4.2,41.5,0.6,0.8,84.4,6.6,2.6,0.8,0.5,1.2,3,0,10.12
183,Denzel ValentineCHI,SG,38,18.6,7.4,2.8,7.5,37.9,1.5,4.4,33.9,0.2,0.2,100.0,3.9,1.7,0.7,0.0,0.6,0,0,11.07
184,Payton PritchardBOS,PG,37,20.2,7.2,2.7,5.9,45.2,1.4,3.3,41.3,0.5,0.5,90.0,2.1,2.1,0.5,0.2,1.0,0,0,11.27
185,T.J. McConnellIND,PG,39,25.4,7.2,3.3,6.1,54.9,0.2,0.6,31.8,0.3,0.6,56.5,3.7,6.5,1.8,0.4,1.9,3,1,16.21
186,Cameron PaynePHX,PG,31,17.1,7.2,2.6,5.4,49.1,1.1,2.5,43.4,0.8,0.9,89.3,2.1,3.7,0.5,0.2,1.1,1,0,16.12
187,Jakob PoeltlSA,C,40,24.3,7.1,3.3,5.3,61.0,0.0,0.0,0.0,0.6,1.5,37.3,7.8,1.8,0.6,1.6,1.3,6,0,16.42
188,Terence DavisTOR,SG,33,14.8,7.0,2.6,6.3,41.3,1.3,3.7,36.4,0.5,0.5,88.9,2.0,1.1,0.5,0.2,0.8,0,0,11.19
189,Svi MykhailiukDET/OKC,SG,39,17.6,7.0,2.4,6.2,38.7,1.6,4.7,33.7,0.6,0.8,80.0,2.1,1.6,0.8,0.2,1.1,0,0,10.65
190,Kenrich WilliamsOKC,SF,43,19.6,7.0,2.9,5.1,57.3,0.6,1.4,43.5,0.5,0.9,54.1,4.1,1.8,0.7,0.2,1.0,0,0,14.57
191,Trey BurkeDAL,PG,40,15.2,7.0,2.6,5.7,45.4,1.1,2.9,39.1,0.7,0.8,87.1,0.9,1.5,0.6,0.1,0.5,0,0,13.52
192,Aaron HolidayIND,PG,41,18.0,6.9,2.6,6.9,37.0,1.0,3.0,33.1,0.8,1.1,75.6,1.2,1.7,0.6,0.1,0.8,1,0,7.73
193,Timothe Luwawu-CabarrotBKN,SG,37,19.0,6.9,2.4,6.2,39.0,1.5,4.1,35.9,0.6,0.7,77.8,2.4,1.3,0.7,0.1,0.8,0,0,9.46
194,Pat ConnaughtonMIL,SG,39,22.3,6.9,2.5,5.4,46.2,1.5,3.7,41.3,0.4,0.5,76.2,4.5,1.3,0.7,0.4,0.4,0,0,12.46
195,Damion LeeGS,SG,43,19.1,6.7,2.3,5.0,45.3,1.4,3.7,38.4,0.8,0.9,89.2,3.3,1.4,0.6,0.1,0.5,0,0,12.10
196,Damyean DotsonCLE,SG,31,18.7,6.7,2.5,6.5,39.3,0.9,3.4,27.4,0.6,0.9,71.4,1.9,2.2,0.4,0.1,0.8,0,0,9.23
197,Cory JosephSAC,SG,43,21.5,6.7,2.6,5.8,44.8,0.7,2.2,33.3,0.8,1.0,75.6,2.2,2.4,0.9,0.2,1.0,0,0,10.16
198,Garrison MathewsWSH,SF,36,17.5,6.7,1.8,4.3,42.3,1.4,3.5,40.8,1.6,1.8,89.1,1.7,0.4,0.6,0.2,0.1,0,0,11.71
199,Dwight HowardPHI,C,44,17.3,6.6,2.5,4.5,56.6,0.1,0.3,28.6,1.5,2.8,53.7,8.2,0.8,0.4,0.9,1.8,7,0,15.59
200,Jeff TeagueBOS,PG,33,18.2,6.6,2.2,5.5,40.3,0.7,1.6,44.2,1.5,1.8,83.1,1.6,2.2,0.8,0.2,1.2,0,0,10.77
201,Frank KaminskyPHX,PF,32,15.1,6.6,2.6,5.4,47.1,0.8,2.0,40.6,0.6,1.0,60.6,3.7,1.6,0.3,0.4,0.5,1,0,15.96
201,Xavier TillmanMEM,C,32,19.1,6.6,2.8,5.4,52.3,0.3,1.1,27.8,0.6,0.8,74.1,4.3,1.5,0.9,0.6,0.8,0,0,13.93
203,Deni AvdijaWSH,SF,38,22.0,6.2,2.4,5.4,44.4,1.0,3.0,33.0,0.4,0.6,62.5,4.5,1.2,0.6,0.2,0.7,0,0,7.95
204,Draymond GreenGS,PF,38,30.0,6.1,2.3,5.8,39.7,0.5,1.9,24.3,1.1,1.4,77.4,6.6,8.4,1.4,0.8,2.8,8,3,11.81
205,Aron BaynesTOR,C,40,19.1,6.1,2.5,6.0,42.4,0.5,2.0,25.0,0.6,0.8,71.9,5.5,0.9,0.3,0.4,0.9,1,0,9.89
205,Isaiah StewartDET,C,40,19.1,6.1,2.7,4.7,56.7,0.2,0.3,46.2,0.7,1.0,67.5,5.9,0.8,0.6,1.0,0.9,3,0,15.57
207,D.J. AugustinHOU/MIL,PG,39,19.3,6.1,1.9,5.2,36.6,1.3,3.4,37.3,1.0,1.1,90.9,1.4,3.0,0.6,0.0,0.9,0,0,10.42
208,Alex LenWSH/TOR,C,34,14.5,6.1,2.4,3.7,64.0,0.2,0.6,30.0,1.2,2.0,61.2,3.6,0.9,0.3,1.1,0.9,1,0,16.26
209,Jake LaymanMIN,SF,31,16.5,6.1,2.4,4.9,48.3,0.6,2.1,29.2,0.7,1.0,76.7,1.9,0.8,0.8,0.5,0.7,0,0,11.80
210,Markieff MorrisLAL,PF,38,18.2,6.1,2.2,5.3,40.8,1.0,3.1,33.1,0.7,1.0,71.1,4.2,1.1,0.2,0.3,0.7,0,0,9.90
211,Kent BazemoreGS,SF,42,16.4,6.0,2.1,4.9,44.1,1.0,2.5,39.8,0.7,1.0,68.2,2.9,1.5,0.8,0.5,1.1,0,0,10.64
212,Derrick FavorsUTAH,C,40,15.9,5.9,2.4,3.7,65.3,0.0,0.0,0.0,1.1,1.5,75.0,5.3,0.9,0.6,0.9,0.6,1,0,20.15
213,Alex CarusoLAL,SG,34,19.9,5.8,2.1,4.9,42.2,0.9,2.2,40.8,0.8,1.1,66.7,2.9,2.4,1.0,0.2,1.1,0,0,11.04
214,James JohnsonDAL,PF,29,17.4,5.7,2.3,5.0,46.2,0.5,2.1,25.0,0.6,1.0,58.6,3.0,1.7,0.8,0.8,0.9,0,0,12.29
215,Jarred VanderbiltMIN,PF,41,18.3,5.6,2.3,3.8,61.0,0.0,0.0,50.0,1.0,1.8,58.3,5.6,1.4,1.0,0.7,1.0,3,0,15.91
216,Precious AchiuwaMIA,PF,42,12.9,5.5,2.2,3.9,57.4,0.0,0.0,0.0,1.1,2.2,51.6,3.7,0.5,0.4,0.5,0.8,2,0,15.22
217,Jaxson HayesNO,C,32,13.4,5.5,2.2,3.0,72.2,0.0,0.0,0.0,1.2,1.5,75.5,3.5,0.5,0.3,0.5,0.6,0,0,17.99
218,Bismack BiyomboCHA,C,40,21.7,5.5,2.3,4.1,57.1,0.0,0.0,0.0,0.9,1.8,48.6,5.5,1.3,0.3,1.2,1.0,1,0,11.97
219,Willie Cauley-SteinDAL,C,35,17.1,5.5,2.3,3.6,62.2,0.0,0.2,12.5,0.9,1.4,66.0,4.3,0.7,0.3,0.8,0.5,1,0,14.67
220,Khem BirchORL,C,42,19.9,5.5,2.0,4.2,47.4,0.1,0.4,22.2,1.4,1.9,72.8,5.2,1.0,0.6,0.6,0.5,2,0,14.61
221,Jaden McDanielsMIN,PF,36,19.8,5.4,2.1,5.1,40.8,0.9,2.8,34.3,0.3,0.7,46.2,3.3,1.0,0.5,1.0,0.7,0,0,8.14
222,Semi OjeleyeBOS,PF,39,19.5,5.4,1.8,4.4,40.5,1.2,3.2,38.7,0.6,0.8,73.3,3.0,0.8,0.3,0.0,0.4,0,0,8.50
223,Devin VassellSA,SG,33,17.2,5.4,1.9,4.6,40.8,1.0,2.4,40.5,0.6,0.8,84.0,3.2,1.1,1.0,0.3,0.5,0,0,11.95
224,Terance MannLAC,SG,41,16.4,5.3,2.0,4.0,49.4,0.4,1.0,37.2,1.0,1.2,80.4,3.4,1.2,0.4,0.2,0.6,1,0,12.55
225,Langston GallowayPHX,SG,30,11.2,5.1,1.8,3.6,49.1,1.0,2.1,46.8,0.6,0.6,100.0,1.0,0.8,0.2,0.0,0.3,0,0,14.08
226,Grant WilliamsBOS,PF,35,18.2,5.0,1.8,4.0,45.0,0.9,2.0,42.3,0.5,1.0,54.3,2.9,0.9,0.5,0.4,0.8,0,0,8.57
227,Georges NiangUTAH,SF,42,13.5,5.0,1.9,4.5,41.1,1.1,3.1,36.4,0.1,0.1,100.0,2.2,0.7,0.3,0.1,0.6,0,0,8.80
228,Facundo CampazzoDEN,PG,37,17.8,4.9,1.5,4.1,37.5,1.0,2.8,34.3,0.9,1.1,80.5,1.3,2.8,1.1,0.2,0.9,0,0,10.83
229,Nerlens NoelNY,C,39,22.4,4.8,2.1,3.4,62.6,0.0,0.1,0.0,0.6,1.0,65.8,6.0,0.6,1.0,2.0,1.1,2,0,14.68
230,Daniel GaffordCHI,C,30,12.6,4.8,2.0,2.9,68.6,0.0,0.0,0.0,0.9,1.4,65.9,3.3,0.6,0.4,1.1,0.7,0,0,18.67
231,Josh OkogieMIN,SF,36,19.8,4.8,1.5,4.4,35.0,0.4,1.8,22.7,1.3,1.6,81.4,2.6,1.2,0.9,0.4,0.7,0,0,7.87
232,Marc GasolLAL,C,35,20.1,4.8,1.5,3.8,40.3,0.9,2.4,36.5,0.8,1.0,80.6,4.1,2.0,0.5,1.3,0.9,0,0,11.23
233,Brad WanamakerGS,PG,39,16.0,4.7,1.6,4.4,35.3,0.3,1.6,21.3,1.3,1.4,89.3,1.7,2.5,0.7,0.2,0.9,0,0,8.57
234,Rodney HoodPOR,SG,38,19.1,4.7,1.9,5.3,36.3,0.7,2.2,29.8,0.2,0.3,75.0,1.9,1.2,0.5,0.1,0.8,0,0,5.16
235,Andre IguodalaMIA,SF,40,21.3,4.7,1.6,4.0,39.1,1.1,3.1,34.4,0.5,0.7,62.1,3.6,2.1,1.0,0.5,1.0,0,0,9.83
236,DeAndre' BembryTOR,SG,31,17.0,4.6,1.9,3.6,52.2,0.3,0.9,33.3,0.5,0.8,66.7,2.3,1.9,0.7,0.3,1.1,0,0,10.07
237,Wesley MatthewsLAL,SG,37,20.1,4.5,1.5,4.1,35.9,1.1,3.3,34.7,0.4,0.4,81.3,1.4,1.0,0.5,0.4,0.5,0,0,6.29
238,Solomon HillATL,SF,43,18.9,4.2,1.4,3.9,35.5,1.0,3.0,32.3,0.4,0.5,85.7,2.3,0.9,0.7,0.1,0.6,0,0,6.28
239,P.J. TuckerHOU/MIL,PF,34,28.9,4.1,1.4,3.9,36.4,0.8,2.6,31.0,0.5,0.7,78.3,4.4,1.4,0.9,0.6,1.0,0,0,5.49
239,Obi ToppinNY,PF,34,11.9,4.1,1.7,3.6,47.2,0.4,1.4,29.8,0.3,0.4,73.3,2.3,0.5,0.2,0.3,0.6,0,0,10.59
241,Dean WadeCLE,PF,35,12.7,4.1,1.5,3.4,43.2,0.9,2.3,38.7,0.3,0.4,66.7,2.3,0.8,0.2,0.3,0.4,0,0,11.53
242,Mychal MulderGS,SG,36,10.5,4.0,1.3,3.2,41.7,1.1,2.8,39.4,0.3,0.5,58.8,0.9,0.4,0.2,0.2,0.2,0,0,9.63
243,Kevon LooneyGS,C,33,15.1,3.9,1.6,2.7,60.2,0.1,0.3,44.4,0.6,0.8,74.1,4.2,1.6,0.4,0.4,0.6,0,0,14.32
244,Sekou DoumbouyaDET,SF,37,13.1,3.9,1.4,4.2,34.4,0.5,1.8,25.0,0.6,0.8,75.0,2.2,0.6,0.4,0.1,0.6,0,0,5.01
245,Cody MartinCHA,SF,30,12.7,3.8,1.6,3.0,52.8,0.3,1.0,27.6,0.4,0.6,72.2,2.4,1.2,0.5,0.2,0.6,0,0,13.40
246,Matisse ThybullePHI,SG,41,18.7,3.7,1.4,3.4,41.1,0.7,2.1,31.4,0.2,0.3,57.1,1.7,1.0,1.5,1.0,0.4,0,0,10.26
247,Gary ClarkORL,SF,35,18.2,3.4,1.1,3.7,30.5,0.9,3.1,28.7,0.2,0.3,80.0,3.2,0.9,0.3,0.2,0.5,0,0,6.10
248,Stanley JohnsonTOR,SF,38,14.2,2.9,1.0,2.7,37.6,0.6,1.7,36.4,0.3,0.4,78.6,2.2,1.2,0.7,0.3,0.7,0,0,7.83
249,Jevon CarterPHX,PG,34,9.5,2.8,1.1,2.8,37.9,0.6,1.9,32.8,0.1,0.1,100.0,1.1,1.1,0.4,0.2,0.2,0,0,10.41
250,Thanasis AntetokounmpoMIL,SF,30,8.6,2.2,1.0,1.6,59.2,0.1,0.3,22.2,0.2,0.5,43.8,2.0,0.7,0.3,0.2,0.6,0,0,11.01
