RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
39,Norman PowellTOR,SF,41,30.5,19.5,6.7,13.5,49.5,2.8,6.5,43.4,3.4,3.9,86.8,3.0,1.8,1.1,0.2,1.9,0,0,17.33
40,Ja MorantMEM,PG,32,31.5,19.3,7.0,15.9,43.9,0.8,3.6,22.8,4.6,6.0,76.6,3.3,7.5,0.9,0.2,2.9,8,1,17.27
41,Bam AdebayoMIA,C,38,33.7,19.2,7.1,12.8,55.7,0.1,0.2,28.6,4.9,5.8,84.5,9.5,5.4,0.9,1.1,2.8,22,1,22.50
42,John CollinsATL,PF,43,30.6,18.3,7.1,13.2,54.2,1.3,3.4,37.4,2.7,3.3,83.7,7.8,1.3,0.5,1.1,1.3,13,0,20.55
43,Andrew WigginsGS,SF,44,32.2,17.7,6.7,14.2,46.9,1.9,5.0,38.3,2.4,3.5,69.5,4.6,2.1,0.9,0.9,1.9,0,0,14.05
44,Kyle LowryTOR,PG,36,34.9,17.6,5.8,13.3,43.8,2.8,7.2,39.1,3.2,3.6,88.4,5.6,7.4,1.1,0.3,2.9,8,2,16.63
45,Jordan ClarksonUTAH,PG,42,25.8,17.5,6.4,14.8,43.3,3.1,8.5,36.3,1.6,1.7,95.8,3.9,2.2,0.9,0.2,1.8,0,0,17.67
46,RJ BarrettNY,SG,44,33.8,17.3,6.6,14.6,45.3,1.1,3.3,34.5,3.0,4.1,73.2,6.1,3.0,0.7,0.3,1.9,3,0,14.12
47,Buddy HieldSAC,SG,43,35.0,16.9,5.7,14.4,39.6,4.0,10.5,38.4,1.4,1.7,84.9,4.6,3.3,0.8,0.3,1.7,1,0,12.07
48,Anthony EdwardsMIN,SF,43,30.1,16.7,6.2,16.0,38.5,2.1,6.7,31.8,2.2,2.9,76.6,4.3,2.6,1.0,0.4,2.0,1,0,11.07
49,Darius GarlandCLE,PG,34,33.0,16.4,6.3,14.2,44.4,1.7,4.4,39.6,2.1,2.5,83.3,2.2,5.8,1.1,0.1,3.0,3,0,12.96
50,Tim Hardaway Jr.DAL,SF,40,29.5,16.4,5.8,13.0,44.5,3.0,7.6,38.9,1.9,2.4,79.8,3.4,1.7,0.6,0.2,1.0,0,0,14.94
51,Mike ConleyUTAH,PG,34,29.7,16.4,5.7,12.5,45.5,2.8,6.6,42.2,2.2,2.7,82.6,3.4,5.5,1.4,0.1,2.0,2,0,18.97
52,Harrison BarnesSAC,SF,40,35.9,16.3,5.5,11.2,49.6,1.6,4.2,36.9,3.7,4.4,83.0,6.5,3.7,0.7,0.2,1.5,3,0,15.99
53,Ben SimmonsPHI,PG,36,34.1,16.1,6.3,11.2,56.3,0.1,0.2,37.5,3.4,5.3,64.6,8.0,7.6,1.5,0.7,3.5,13,4,19.17
54,Terrence RossORL,SG,36,29.6,16.0,5.7,13.8,41.4,2.3,6.3,36.0,2.3,2.6,89.4,3.5,2.3,1.1,0.5,1.7,0,0,13.45
55,Michael Porter Jr.DEN,SF,33,29.4,15.9,6.0,11.5,52.5,2.3,5.5,41.5,1.6,2.1,75.4,7.4,0.9,0.7,1.0,1.1,8,0,18.99
56,Jrue HolidayMIL,PG,32,31.3,15.9,6.3,12.8,49.3,1.8,4.6,37.8,1.6,1.9,80.6,4.6,5.2,1.8,0.5,1.8,1,0,19.07
57,LaMelo BallCHA,PG,41,28.6,15.9,5.8,12.8,45.1,2.0,5.3,37.5,2.4,3.0,78.9,5.9,6.1,1.6,0.3,2.8,7,1,18.53
58,Jonas ValanciunasMEM,C,35,27.7,15.9,6.5,11.5,55.9,0.3,1.0,32.4,2.6,3.5,74.2,12.3,1.8,0.6,0.7,1.9,27,0,21.96
59,Dillon BrooksMEM,SF,37,29.2,15.8,5.9,15.2,39.0,1.8,5.8,31.9,2.1,2.4,85.4,3.0,2.6,1.3,0.4,2.0,0,0,10.66
60,Chris PaulPHX,PG,41,31.7,15.7,6.0,12.3,48.4,1.4,3.7,37.5,2.4,2.6,94.3,4.7,8.8,1.4,0.3,2.3,12,1,20.10
61,Dejounte MurraySA,PG,39,31.4,15.6,6.5,14.3,45.2,0.9,3.0,31.4,1.8,2.2,82.1,7.0,5.1,1.5,0.1,1.7,9,2,16.39
62,Coby WhiteCHI,PG,42,31.8,15.2,5.6,13.6,41.1,2.3,6.5,35.3,1.8,2.0,89.2,4.6,4.7,0.5,0.1,2.3,4,0,11.44
63,Kelly Oubre Jr.GS,SG,42,30.5,15.1,5.7,13.0,43.8,1.6,5.1,30.6,2.2,3.1,70.2,5.9,1.4,1.0,0.8,1.3,4,0,13.15
